NEIG,CRIME,INC,HOVAL,x_cntrd,y_cntrd,area
1,18.801754,21.232,44.567001,-83.01151,40.01925,3.083603
2,32.38776,4.477,33.200001,-83.00604,40.00999,0.9982372
3,38.425858,11.337,37.125,-83.00452,40.00074,2.444513
4,0.178269,8.438,75,-83.0207,39.99759,3.06697
5,15.72598,19.531,80.467003,-82.99041,40.02917,3.673142
6,30.626781,15.956,26.35,-82.98248,40.01301,2.290918
7,50.73151,11.252,23.225,-82.98262,39.99761,5.831658
8,26.066658,16.028999,28.75,-82.95131,40.00286,3.374381
9,48.585487,9.873,18,-82.98406,39.98129,1.275759
10,34.000835,13.598,96.400002,-82.92435,39.98895,2.946533
11,36.868774,9.798,41.75,-82.91728,39.97852,1.221657
12,20.048504,21.155001,47.733002,-82.91103,39.96805,2.961125
13,19.145592,18.941999,40.299999,-82.90689,39.9549,2.22807
14,18.905146,22.207001,42.099998,-82.89859,39.94416,1.647391
15,27.822861,18.950001,42.5,-82.89921,39.93035,2.954201
16,16.241299,29.833,61.950001,-82.91848,39.94498,3.641743
17,0.223797,31.07,81.266998,-82.93169,39.96703,5.328324
18,30.515917,17.586,52.599998,-82.95589,39.98721,5.983546
19,33.705048,11.709,30.450001,-82.95475,39.97309,2.309869
20,40.969742,8.085,20.299999,-82.97211,39.97165,1.284737
21,52.79443,10.822,34.099998,-82.95117,39.96388,1.65213
22,41.968163,9.918,23.6,-82.94911,39.9572,1.049547
23,39.175053,12.814,27,-82.95406,39.95043,2.107898
24,53.710938,11.107,22.700001,-82.97378,39.94947,0.6470717
25,25.962263,16.961,33.5,-82.95514,39.94156,2.084744
26,22.541491,18.796,35.799999,-82.96155,39.9305,2.480744
27,26.645266,11.813,26.799999,-82.97194,39.93539,0.8396197
28,29.028488,14.135,27.733,-82.98669,39.93443,3.086829
29,36.663612,13.38,25.700001,-82.97359,39.94279,0.7246944
30,42.445076,17.017,43.299999,-82.98663,39.9486,1.455941
31,56.919785,7.856,22.85,-82.97004,39.95882,2.097285
32,61.299175,8.461,17.9,-82.98553,39.97067,2.056398
33,60.750446,8.681,32.5,-82.98383,39.9593,1.03113
34,68.892044,13.906,22.5,-82.99627,39.95767,1.252443
35,38.297871,14.236,53.200001,-83.00779,39.96883,2.303361
36,54.838711,7.625,18.799999,-82.99769,39.97793,1.114765
37,56.705669,10.048,19.9,-83.00245,39.98751,0.4273349
38,62.275448,7.467,19.700001,-82.9971,39.98831,0.4900767
39,46.716129,9.549,41.700001,-83.01084,39.98878,0.4108117
40,57.066132,9.963,42.900002,-83.01328,39.98489,0.7275121
41,54.521965,11.618,30.6,-83.01244,39.97909,0.7339112
42,43.962486,13.185,60,-83.00491,39.97552,0.6640862
43,40.074074,10.655,19.975,-83.03246,39.96197,8.38666
44,23.974028,14.948,28.450001,-83.05442,39.94855,2.722829
45,17.677214,16.940001,31.799999,-83.07361,39.95695,1.409225
46,14.305556,18.739,36.299999,-83.08073,39.94872,2.139943
47,19.100863,18.476999,39.599998,-83.10268,39.94189,2.102017
48,16.530533,18.323999,76.099998,-83.09404,39.9365,1.500566
49,16.49189,25.872999,44.333,-83.06438,39.93875,3.206534
